"","Source","Study","ControlSite","ControlID","Group","SpeciesCode","SpeciesName","Continent","Country","Longitude","Latitude","LocationUncertainty","StudyYear","YearsInStudy","InfraN","ControlN","InfraD","ControlD","InfraAbundance_original","ControlAbundance_original","AbundanceUnit","InfraSD_original","ControlSD_original","SDEstimate","InfraA","ControlA","InfraSD","ControlSD","MaxDist","Dist","MinDist","MaxCDist","CDist","MinCDist","Habitat","InfraType","StudyQualityA","StudyQualityB","Note","ID","InfraSD_imputed","ControlSD_imputed","logRR_uncorrected","logRR","VAR_uncorrected","VAR","logD","logD2","InfraTypeOriginal","HabitatOriginal","Order","Genus","Family","Diet","BM","logBM"
"1","Barrows et al. 2006","1a","1a","1am1","Mammals","m1","Dipodomys deserti","North-America","USA",-116.33,33.78,5000,"2003",1,9,5,6,30,1.57,3.24,"individuals/survey",0.655,0.5493,"From SE",1.57,3.24,0.655,0.5493,10,1,0,NA,600,NA,"Open","Paved road",1,1,"2003","S1",0.655,0.5493,-0.724497710444021,-0.717702340350828,0.025087862957306,0.0252913902289506,0,0,"Paved road","Desert","Rodentia","Dipodomys","Heteromyidae",0,104.5,2.01911629044707
"2","Barrows et al. 2006","1a","1a","1am1","Mammals","m1","Dipodomys deserti","North-America","USA",-116.33,33.78,5000,"2003",1,9,5,6,30,2.46,3.24,"individuals/survey",0.7532,0.5493,"From SE",2.46,3.24,0.7532,0.5493,NA,25,NA,NA,600,NA,"Open","Paved road",1,1,"2003","S2",0.7532,0.5493,-0.275411979859967,-0.273078177474576,0.016164727541701,0.0162354987793995,1.39794000867204,1.95423626784598,"Paved road","Desert","Rodentia","Dipodomys","Heteromyidae",0,104.5,2.01911629044707
"3","Barrows et al. 2006","1a","1a","1am1","Mammals","m1","Dipodomys deserti","North-America","USA",-116.33,33.78,5000,"2003",1,9,5,6,30,2.88,3.24,"individuals/survey",0.8024,0.5493,"From SE",2.88,3.24,0.8024,0.5493,NA,50,NA,NA,600,NA,"Open","Paved road",1,1,"2003","S3",0.8024,0.5493,-0.117783035656384,-0.116344863502748,0.0143734670781893,0.0144271845562947,1.69897000433602,2.88649907563353,"Paved road","Desert","Rodentia","Dipodomys","Heteromyidae",0,104.5,2.01911629044707
"4","Barrows et al. 2006","1a","1a","1am1","Mammals","m1","Dipodomys deserti","North-America","USA",-116.33,33.78,5000,"2003",1,9,5,6,30,2.71,3.24,"individuals/survey",0.6223,0.5493,"From SE",2.71,3.24,0.6223,0.5493,NA,100,NA,NA,600,NA,"Open","Paved road",1,1,"2003","S4",0.6223,0.5493,-0.178624694912629,-0.178569509246119,0.011607494103938,0.011641180629239,2,4,"Paved road","Desert","Rodentia","Dipodomys","Heteromyidae",0,104.5,2.01911629044707
"5","Barrows et al. 2006","1a","1a","1am1","Mammals","m1","Dipodomys deserti","North-America","USA",-116.33,33.78,5000,"2003",1,9,5,6,30,2.97,3.24,"individuals/survey",0.786,0.5493,"From SE",2.97,3.24,0.786,0.5493,NA,150,NA,NA,600,NA,"Open","Paved road",1,1,"2003","S5",0.786,0.5493,-0.0870113769896298,-0.0859946715018111,0.0135305337465565,0.0135773362724721,2.17609125905568,4.73537316773854,"Paved road","Desert","Rodentia","Dipodomys","Heteromyidae",0,104.5,2.01911629044707
"6","Barrows et al. 2006","1a","1a","1am1","Mammals","m1","Dipodomys deserti","North-America","USA",-116.33,33.78,5000,"2003",1,9,5,6,30,3.12,3.24,"individuals/survey",0.6549,0.5493,"From SE",3.12,3.24,0.6549,0.5493,NA,200,NA,NA,600,NA,"Open","Paved road",1,1,"2003","S6",0.6549,0.5493,-0.0377403279828471,-0.0381668517516781,0.010644075233257,0.0106725812401752,2.30102999566398,5.29473904094538,"Paved road","Desert","Rodentia","Dipodomys","Heteromyidae",0,104.5,2.01911629044707
"7","Barrows et al. 2006","1a","1a","1am1","Mammals","m1","Dipodomys deserti","North-America","USA",-116.33,33.78,5000,"2003",1,9,5,6,30,2.97,3.24,"individuals/survey",0.7696,0.5493,"From SE",2.97,3.24,0.7696,0.5493,NA,250,NA,NA,600,NA,"Open","Paved road",1,1,"2003","S7",0.7696,0.5493,-0.0870113769896298,-0.0861553494875546,0.0132091777750696,0.0132535311525272,2.39794000867204,5.75011628519005,"Paved road","Desert","Rodentia","Dipodomys","Heteromyidae",0,104.5,2.01911629044707
"9","Barrows et al. 2006","1a","1a","1am2","Mammals","m2","Spermophilus tereticaudus","North-America","USA",-116.33,33.78,5000,"2003",1,9,5,6,30,0.19,0.87,"individuals/survey",0.2416,0.2911,"From SE",0.19,0.87,0.2416,0.2911,10,1,0,NA,600,NA,"Open","Paved road",1,1,"2003","S9",0.2416,0.2911,-1.52146913948814,-1.44283620057234,0.202048126477405,0.218437126913199,0,0,"Paved road","Desert","Rodentia","Xerospermophilus","Sciuridae",0,156.5,2.19451434188247
"10","Barrows et al. 2006","1a","1a","1am2","Mammals","m2","Spermophilus tereticaudus","North-America","USA",-116.33,33.78,5000,"2003",1,9,5,6,30,0.26,0.87,"individuals/survey",0.2899,0.2911,"From SE",0.26,0.87,0.2899,0.2911,NA,25,NA,NA,600,NA,"Open","Paved road",1,1,"2003","S10",0.2899,0.2911,-1.2078115806331,-1.14993908723899,0.160527235434007,0.170318709254679,1.39794000867204,1.95423626784598,"Paved road","Desert","Rodentia","Xerospermophilus","Sciuridae",0,156.5,2.19451434188247
"11","Barrows et al. 2006","1a","1a","1am2","Mammals","m2","Spermophilus tereticaudus","North-America","USA",-116.33,33.78,5000,"2003",1,9,5,6,30,0.28,0.87,"individuals/survey",0.298,0.2911,"From SE",0.28,0.87,0.298,0.2911,NA,50,NA,NA,600,NA,"Open","Paved road",1,1,"2003","S11",0.298,0.2911,-1.13370360847938,-1.08197116610568,0.148247133393191,0.156417682126964,1.69897000433602,2.88649907563353,"Paved road","Desert","Rodentia","Xerospermophilus","Sciuridae",0,156.5,2.19451434188247
"12","Barrows et al. 2006","1a","1a","1am2","Mammals","m2","Spermophilus tereticaudus","North-America","USA",-116.33,33.78,5000,"2003",1,9,5,6,30,0.22,0.87,"individuals/survey",0.2013,0.2911,"From SE",0.22,0.87,0.2013,0.2911,NA,100,NA,NA,600,NA,"Open","Paved road",1,1,"2003","S12",0.2013,0.2911,-1.37486566529627,-1.33954872745772,0.115416124322896,0.119993630859618,2,4,"Paved road","Desert","Rodentia","Xerospermophilus","Sciuridae",0,156.5,2.19451434188247
"13","Barrows et al. 2006","1a","1a","1am2","Mammals","m2","Spermophilus tereticaudus","North-America","USA",-116.33,33.78,5000,"2003",1,9,5,6,30,0.19,0.87,"individuals/survey",0.2094,0.2911,"From SE",0.19,0.87,0.2094,0.2911,NA,150,NA,NA,600,NA,"Open","Paved road",1,1,"2003","S13",0.2094,0.2911,-1.52146913948814,-1.46518492325624,0.1573506811096,0.166708403317853,2.17609125905568,4.73537316773854,"Paved road","Desert","Rodentia","Xerospermophilus","Sciuridae",0,156.5,2.19451434188247
"14","Barrows et al. 2006","1a","1a","1am2","Mammals","m2","Spermophilus tereticaudus","North-America","USA",-116.33,33.78,5000,"2003",1,9,5,6,30,0.32,0.87,"individuals/survey",0.306,0.2911,"From SE",0.32,0.87,0.306,0.2911,NA,200,NA,NA,600,NA,"Open","Paved road",1,1,"2003","S14",0.306,0.2911,-1.00017221585486,-0.960566996766305,0.123992686822896,0.129404806798338,2.30102999566398,5.29473904094538,"Paved road","Desert","Rodentia","Xerospermophilus","Sciuridae",0,156.5,2.19451434188247
"15","Barrows et al. 2006","1a","1a","1am2","Mammals","m2","Spermophilus tereticaudus","North-America","USA",-116.33,33.78,5000,"2003",1,9,5,6,30,0.31,0.87,"individuals/survey",0.2577,0.2911,"From SE",0.31,0.87,0.2577,0.2911,NA,250,NA,NA,600,NA,"Open","Paved road",1,1,"2003","S15",0.2577,0.2911,-1.03192091416944,-1.00472516519665,0.0991737465913664,0.102372213356799,2.39794000867204,5.75011628519005,"Paved road","Desert","Rodentia","Xerospermophilus","Sciuridae",0,156.5,2.19451434188247
"17","Barrows et al. 2006","1b","1b","1bm1","Mammals","m1","Dipodomys deserti","North-America","USA",-116.33,33.78,5000,"2004",1,9,5,6,30,2.11,4.35,"individuals/survey",0.6878,0.4638,"From SE",2.11,4.35,0.6878,0.4638,10,1,0,NA,600,NA,"Open","Paved road",1,1,"2004","S17",0.6878,0.4638,-0.723487897612618,-0.718721502507525,0.014079978795203,0.0141522587682192,0,0,"Paved road","Desert","Rodentia","Dipodomys","Heteromyidae",0,104.5,2.01911629044707
"18","Barrows et al. 2006","1b","1b","1bm1","Mammals","m1","Dipodomys deserti","North-America","USA",-116.33,33.78,5000,"2004",1,9,5,6,30,3.09,4.35,"individuals/survey",0.7204,0.4638,"From SE",3.09,4.35,0.7204,0.4638,NA,25,NA,NA,600,NA,"Open","Paved road",1,1,"2004","S18",0.7204,0.4638,-0.342004754190939,-0.340121892044885,0.00831291287712552,0.00833373417711223,1.39794000867204,1.95423626784598,"Paved road","Desert","Rodentia","Dipodomys","Heteromyidae",0,104.5,2.01911629044707
