Author,Year,NumberInDatabase,#Studies,#DatapointsFinal,StudyYear,Taxa,Orders,Infrastructure,Location,Habitat,Quality,Origin,Citation
Barrows et al. ,2006,1,3,120,2002-2004,"Mammals,Reptiles","Rodentia (2 sp.), Squamata (4 sp.)",Paved road,"Coachella Valley, California, USA",Desert,"2 (a=1,b=1)",Benitez-Lopez et al. 2012,"Barrows, C. W., Allen, M. F., & Rotenberry, J. T. (2006). Boundary processes between a desert sand dune community and an encroaching suburban landscape. Biological Conservation, 131(4), 486-494."
Bautista et al. ,2004,2,2,34,1999-2000,Birds,"Accipitriformes (8 sp.), Falconiformes (1 sp.)",Paved road,"Madrid region, Spain",Mediterranean forest,"1 (a=1,b=0)",Benitez-Lopez et al. 2012,"Bautista, L. M., García, J. T., Calmaestra, R. G., Palacín, C., Martín, C. A., Morales, M. B., ... & Viñuela, J. (2004). Effect of weekend road traffic on the use of space by raptors. Conservation Biology, 18(3), 726-732."
Clark & Karr,1979,4,4,40,1976,Birds,Passeriformes (2 sp.),"Paved road, Highway","Illinois, USA",Agricultural,"1 (a=1,b=0)",Benitez-Lopez et al. 2012,"Clark, W. D., & Karr, J. R. (1979). Effects of highways on Red-winged Blackbird and Horned Lark populations. The Wilson Bulletin, 143-145."
Delgado et al. ,2004,5,1,16,,Birds,"Passeriofrmes (7 sp.), Columbiformes (1 sp.)",Paved road,"Tenerife, Spain",Laurel forest,"1 (a=1,b=0)",Benitez-Lopez et al. 2012,"Delgado, J. D., Arévalo, J. R., & Fernández-Palacios, J. M. (2004). Consecuencias de la fragmentación viaria: efectos de borde de las carreteras en la laurisilva y el pinar de Tenerife. Ecología Insular/Island Ecology. Asociación Española de Ecología Terrestre (AEET)-Cabildo Insular de la Palma, 181-225."
Develey & Stouffer,2001,6,2,36,1999,Birds,Passeriformes (9 sp.),Unpaved road,"Central Amazon, Brazil",Tropical rainforest,"2 (a=1,b=1)",Benitez-Lopez et al. 2012,"Develey, P. F., & Stouffer, P. C. (2001). Effects of roads on movements by understory birds in mixed‐species flocks in central Amazonian Brazil. Conservation biology, 15(5), 1416-1422."
Gill et al. ,1996,7,1,4,1992-1993,Birds,Anseriformes (1 sp.),Paved roads,"Scolt Head Island, UK",Agricultural,"1 (a=1,b=0)",Benitez-Lopez et al. 2012,"Gill, J. A., Sutherland, W. J., & Watkinson, A. R. (1996). A method to quantify the effects of human disturbance on animal populations. Journal of applied Ecology, 786-792."
Kuitunen et al. ,1998,9,1,108,1992,Birds,"Charadriiformes (3 sp.), Galliformes (1 sp.), Piciformes (2 sp.), Cuculiformes (1 sp.), Columbiformes (1 sp.), Caprimulgiformes (1 sp.), Passeriformes (45 sp.)",Highway,"Jyväskylä region, Finland",Boreal forest,"1 (a=1,b=0)",Benitez-Lopez et al. 2012,"Kuitunen, M., Rossi, E., & Stenroos, A. (1998). Do highways influence density of land birds?. Environmental management, 22(2), 297-302."
Lane et al. ,2001,10,2,47,1997-1999,Birds,Otidiformes (1 sp.),"Paved road, powerline","Madrid province, Spain",Agricultural,"1 (a=1,b=0)",Benitez-Lopez et al. 2012,"Lane, S. J., Alonso, J. C., & Martín, C. A. (2001). Habitat preferences of great bustard Otistarda flocks in the arable steppes of central Spain: are potentially suitable areas unoccupied?. Journal of applied ecology, 38(1), 193-203."
Laurance et al. ,2006,11,1,10,2004,Mammals,"Artiodactyla (1 sp), Proboscidea (1 sp)",Unpaved road,"Loango & Moukalaba-Doudou, Gabon",Tropical rainforest,"1 (a=1,b=0)",Benitez-Lopez et al. 2012,"Laurance, W. F., Croes, B. M., Tchignoumba, L., Lahm, S. A., Alonso, A., Lee, M. E., ... & Ondzeano, C. (2006). Impacts of roads and hunting on central African rainforest mammals. Conservation Biology, 20(4), 1251-1261."
Malcolm & Ray,2000,12,6,98,1993-1994,Mammals,"Rodentia (13 sp.), Eulipotyphla (1 sp.)","Unpaved road, skid trail","Bayaga, Central Africal Repoublic",Tropical rainforest,"2 (a=1,b=1)",Benitez-Lopez et al. 2012,"Malcolm, J. R., & Ray, J. C. (2000). Influence of timber extraction routes on central African small-mammal communities, forest structure, and tree diversity. Conservation Biology, 14(6), 1623-1638."
Meunier et al. ,1999A,13,3,384,1994-1997,Birds,"Passeriformes (49 sp.), Accipitriformes (6 sp.), Columbiformes (3 sp.), Piciformes (1 sp.), cuculiformes (1 sp.), Bucerotiformes (1 sp.), Galliformes (2 sp.), Caprimulgiformes (1 sp.)",Highway,"Nîmes, Bordeax & Niort, France","Woodland, argricultural, matoral","1 (a=1,b=0)",Benitez-Lopez et al. 2012,"Meunier, F. D., Verheyden, C., & Jouventin, P. (1999). Bird communities of highway verges: influence of adjacent habitat and roadside management. Acta Oecologica, 20(1), 1-13."
Meunier et al. ,2000,14,2,12,1996-1997,Birds,"Accipitriformes (2 sp.), Falconiformes (1 sp.)","Highway, paved road","Niort, France",Agricultural,"1 (a=1,b=0)",Benitez-Lopez et al. 2012,"Meunier, F. D., Verheyden, C., & Jouventin, P. (2000). Use of roadsides by diurnal raptors in agricultural landscapes. Biological Conservation, 92(3), 291-298."
Rich et al. ,1994,15,3,6,1991,Birds,Passeriformes (1 sp.),"Unpaved road, paved road, powerline","New Jersey, USA",Forest,"1 (a=1,b=0)",Benitez-Lopez et al. 2012,"Rich, A. C., Dobkin, D. S., & Niles, L. J. (1994). Defining forest fragmentation by corridor width: the influence of narrow forest‐dividing corridors on forest‐nesting birds in southern New Jersey. Conservation Biology, 8(4), 1109-1121."
Astudillo et al. ,2014,16,1,56,2011-2012,Birds,"Passeriformes (24 sp.), Caprimulgiformes (3 sp.), Chardriiformes (1 sp.)",Paved road,"Cajas National Park, Ecuador",Grassland,"1 (a=1,b=0)",Search string,"Astudillo, P. X., Samaniego, G. M., Machado, P. J., Aguilar, J. M., Tinoco, B. A., Graham, C. H., ... & Farwig, N. (2014). The impact of roads on the avifauna of páramo grasslands in Cajas National Park, Ecuador. Studies on neotropical fauna and environment, 49(3), 204-212."
Clarke et al. ,2013,17,9,54,1988-2006,Birds,Charadriiformes (1 sp.),"Highway, paved road","Breckland district, UK",Agricultural,"1 (a=1,b=0)",Search string,"Clarke, R. T., Liley, D., Sharp, J. M., & Green, R. E. (2013). Building development and roads: Implications for the distribution of stone curlews across the Brecks. PloS one, 8(8)."
Goodwin et al. ,2011,18,1,16,2009,Birds,"Passeriformes (7 sp.), Cuculiformes (1 sp.)",Paved road,"Prince William County, Virginia, USA",Boreal forest,"1 (a=1,b=0)",Search string,"Goodwin, S. E., & Shriver, W. G. (2011). Effects of traffic noise on occupancy patterns of forest birds. Conservation Biology, 25(2), 406-411."
Herrera-Montes et al. ,2011,19,2,86,2009,"Birds, Amphibians","Passeriformes (10 sp.), Cuculiformes (2 sp.), Piciformes (1 sp.), Coraciiformes (1 sp.) Columbiformes (2 sp.), Strigiformes (1 sp.), Accipitriformes (1 sp.), Anura (6 sp.)",Highway,"San Juan, Puerto Rico","Karst forest, Subtropical lowland forest","2 (a=1,b=1)",Search string,"Herrera-Montes, M. I., & Aide, T. M. (2011). Impacts of traffic noise on anuran and bird communities. Urban Ecosystems, 14(3), 415-427."
Polak et al. ,2013,22,1,117,2011,Birds,"Passeriformes (32 sp.), Piciformes (3 sp.), Columbiformes (2 sp.), Cuculiformes (1 sp.), Accipitriformes (1 sp.)",Paved road,"Janów forest, Poland",Coniferous forest,"1 (a=1,b=0)",Search string,"Polak, M., Wiącek, J., Kucharczyk, M., & Orzechowski, R. (2013). The effect of road traffic on a breeding community of woodland birds. European Journal of Forest Research, 132(5-6), 931-941."
Reijnen & Foppen,1994,23,2,6,1988-1991,Birds,Passeriformes (1 sp.),Highway,"Bolgerijen-Autena, the Netherlands","Grassland, shrubland","2 (a=1,b=1)",Benitez-Lopez et al. 2012,"Reijnen, R., & Foppen, R. (1994). The effects of car traffic on breeding bird populations in woodland. I. Evidence of reduced habitat quality for willow warblers (Phylloscopus trochilus) breeding close to a highway. Journal of Applied ecology, 85-94."
Reijnen et al. ,1995,25,2,122,1987-1988,Birds,"Passeriformes (33 sp.), Anseriformes (1 sp.), Accipitriformes (1 sp.), Columbiformes (2 sp.), Cuculiformes (1 sp.), Piciformes (3 sp.), Galliformes (1 sp.), Charadriiformes (1 sp.) ",Highway,Various locations spread across the Netherlands,"Deciduous woodland, coniferous woodland","1 (a=1,b=0)",Benitez-Lopez et al. 2012,"Reijnen, R., Foppen, R., Braak, C. T., & Thissen, J. (1995). The effects of car traffic on breeding bird populations in woodland. III. Reduction of density in relation to the proximity of main roads. Journal of Applied ecology, 187-202."
