Source,Study,ControlSite,ControlID,Group,SpeciesCode,SpeciesName,Continent,Country,Longitude,Latitude,LocationUncertainty,StudyYear,YearsInStudy,InfraN,ControlN,InfraD,ControlD,InfraAbundance_original,ControlAbundance_original,AbundanceUnit,InfraSD_original,ControlSD_original,SDEstimate,InfraA,ControlA,InfraSD,ControlSD,MaxDist,Dist,MinDist,MaxCDist,CDist,MinCDist,Habitat,InfraType,StudyQualityA,StudyQualityB,Note
Barrows et al. 2006,1a,1a,1am1,Mammals,m1,Dipodomys deserti,North-America,USA,-116.33,33.78,5000,2003,1,9,5,6,30,1.57,3.24,individuals/survey,0.655,0.5493,From SE,1.57,3.24,0.655,0.5493,10,1,0,NA,600,NA,Desert,Paved road,1,1,2003
Barrows et al. 2006,1a,1a,1am1,Mammals,m1,Dipodomys deserti,North-America,USA,-116.33,33.78,5000,2003,1,9,5,6,30,2.46,3.24,individuals/survey,0.7532,0.5493,From SE,2.46,3.24,0.7532,0.5493,NA,25,NA,NA,600,NA,Desert,Paved road,1,1,2003
Barrows et al. 2006,1a,1a,1am1,Mammals,m1,Dipodomys deserti,North-America,USA,-116.33,33.78,5000,2003,1,9,5,6,30,2.88,3.24,individuals/survey,0.8024,0.5493,From SE,2.88,3.24,0.8024,0.5493,NA,50,NA,NA,600,NA,Desert,Paved road,1,1,2003
Barrows et al. 2006,1a,1a,1am1,Mammals,m1,Dipodomys deserti,North-America,USA,-116.33,33.78,5000,2003,1,9,5,6,30,2.71,3.24,individuals/survey,0.6223,0.5493,From SE,2.71,3.24,0.6223,0.5493,NA,100,NA,NA,600,NA,Desert,Paved road,1,1,2003
Barrows et al. 2006,1a,1a,1am1,Mammals,m1,Dipodomys deserti,North-America,USA,-116.33,33.78,5000,2003,1,9,5,6,30,2.97,3.24,individuals/survey,0.786,0.5493,From SE,2.97,3.24,0.786,0.5493,NA,150,NA,NA,600,NA,Desert,Paved road,1,1,2003
Barrows et al. 2006,1a,1a,1am1,Mammals,m1,Dipodomys deserti,North-America,USA,-116.33,33.78,5000,2003,1,9,5,6,30,3.12,3.24,individuals/survey,0.6549,0.5493,From SE,3.12,3.24,0.6549,0.5493,NA,200,NA,NA,600,NA,Desert,Paved road,1,1,2003
Barrows et al. 2006,1a,1a,1am1,Mammals,m1,Dipodomys deserti,North-America,USA,-116.33,33.78,5000,2003,1,9,5,6,30,2.97,3.24,individuals/survey,0.7696,0.5493,From SE,2.97,3.24,0.7696,0.5493,NA,250,NA,NA,600,NA,Desert,Paved road,1,1,2003
Barrows et al. 2006,1a,1a,1am1,Mammals,m1,Dipodomys deserti,North-America,USA,-116.33,33.78,5000,2003,1,5,5,30,30,3.24,3.24,individuals/transect/survey,0.5493,0.5493,From SE,3.24,3.24,0.5493,0.5493,NA,600,NA,NA,600,NA,Desert,Paved road,1,1,2003
Barrows et al. 2006,1a,1a,1am2,Mammals,m2,Spermophilus tereticaudus,North-America,USA,-116.33,33.78,5000,2003,1,9,5,6,30,0.19,0.87,individuals/survey,0.2416,0.2911,From SE,0.19,0.87,0.2416,0.2911,10,1,0,NA,600,NA,Desert,Paved road,1,1,2003
Barrows et al. 2006,1a,1a,1am2,Mammals,m2,Spermophilus tereticaudus,North-America,USA,-116.33,33.78,5000,2003,1,9,5,6,30,0.26,0.87,individuals/survey,0.2899,0.2911,From SE,0.26,0.87,0.2899,0.2911,NA,25,NA,NA,600,NA,Desert,Paved road,1,1,2003
