Species_code,Group,Species_name,Official_name,Alternative_names,Common_name,Order,Family,Genus,Diet,Body_mass_g,mean_SVL_mm,Source_SVL
m1,Mammals,Dipodomys deserti,Dipodomys deserti,NA,Desert kangaroo rat,Rodentia,Heteromyidae,Dipodomys,0,104.5,,
m2,Mammals,Spermophilus tereticaudus,Xerospermophilus tereticaudus,Spermophilus tereticaudus,Round-tailes ground squirrel,Rodentia,Sciuridae,Xerospermophilus,0,156.5,,
m4,Mammals,Cephalophus sp.,Cephalophus,NA,Duiker,Cetartiodactyla,Bovidae,Cephalophus,9.3,1900,,
m5,Mammals,Loxondonta africana cyclotis,Loxodonta africana,NA,Forest elephant,Proboscidea,Elephantidae,Loxodonta,0,3940034.28,,
m6,Mammals,Lepus europaeus,Lepus europaeus,NA,Brown hare,Lagomorpha,Leporidae,Lepus,0,3740,,
m7,Mammals,Cervus canadensis,Cervus canadensis,NA,"Elk, wapiti",Cetartiodactyla,Cervidae,Cervus,0,171500,,
m8,Mammals,Odocoileus hemionus,Odocoileus hemionus,NA,Mule deer,Cetartiodactyla,Cervidae,Odocoileus,0,54212.57,,
m9,Mammals,Lynx rufus,Lynx rufus,NA,Bobcat,Carnivora,Felidae,Lynx,100,8904.1,,
m10,Mammals,Canis latrans,Canis latrans,NA,Coyote,Carnivora,Canidae,Canis,100,13406.33,,
m11,Mammals,Alces alces,Alces alces,NA,Moose,Cetartiodactyla,Cervidae,Alces,0,356998.16,,
m12,Mammals,Rangifer tarandus,Rangifer tarandus,NA,"Reindeer, caribou",Cetartiodactyla,Cervidae,Rangifer,0,86033.98,,
m13,Mammals,Ursus arctos,Ursus arctos,NA,"Brown bear, grizzly bear",Carnivora,Ursidae,Ursus,10,180520.42,,
m14,Mammals,Martes americana,Martes americana,NA,American marten,Carnivora,Mustelidae,Martes,70,1250,,
m15,Mammals,Oryctolagus cuniculus,Oryctolagus cuniculus,NA,European rabbit,Lagomorpha,Leporidae,Oryctolagus,0,1832.22,,
m16,Mammals,Vulpes vulpes,Vulpes vulpes,NA,Red fox,Carnivora,Canidae,Vulpes,70,5476.17,,
m17,Mammals,Martes foina,Martes foina,NA,"Stone marten, Beech marten",Carnivora,Mustelidae,Martes,70,1540.8,,
m18,Mammals,Felis silvestris & felis catus,Felis silvestris & felis catus,NA,Wildcat & domestic cat,Carnivora,Felidae,Felis,95,3992.4,,
m19,Mammals,Canis lupus,Canis lupus,NA,Iberian wolf & domestic dog,Carnivora,Canidae,Canis,100,32183.33,,
m20,Mammals,Petaurus norfolcensis,Petaurus norfolcensis,NA,Squirrel glider,Diprotodontia,Petauridae,Petaurus,10,230,,
m21,Mammals,Peromyscus maniculatus,Peromyscus maniculatus,NA,North american deermouse,Rodentia,Cricetidae,Peromyscus,10,21.28,,
m22,Mammals,Perognathus parvus,Perognathus parvus,NA,NA,Rodentia,Heteromyidae,Perognathus,0,21.78,,
m23,Mammals,Melomys cervinipes,Melomys cervinipes,NA,Fawn-footed melomys,Rodentia,Muridae,Melomys,0,78,,
m24,Mammals,Rattus leucopus & Rattus fuscipes,Rattus leucopus & Rattus fuscipes,NA,NA,Rodentia,Muridae,Rattus,0,152.355,,
m25,Mammals,Uromys caudimaculatus,Uromys caudimaculatus,NA,White-tailed giant rat,Rodentia,Muridae,Uromys,0,606.75,,
m26,Mammals,Connochaetes taurinus,Connochaetes taurinus,NA,Common wildebeest,Cetartiodactyla,Bovidae,Connochaetes,0,179998.96,,
m27,Mammals,Equus quagga,Equus quagga,NA,Plains zebra,Perissodactyla,Equidae,Equues,0,400000,,
m28,Mammals,Microtus montanus,Microtus montanus,NA,NA,Rodentia,Cricetidae,Microtus,0,36.33,,
m29,Mammals,Peromyscus leucopus,Peromyscus leucopus,NA,White-footed mouse,Rodentia,Cricetidae,Peromyscus,10,21.17,,
m30,Mammals,Tamiasciurus hudsonicus,Tamiasciurus hudsonicus,NA,Red squirrel,Rodentia,Sciuridae,Tamiasciurus,30,201.17,,
m31,Mammals,Tamias striatus,Tamias striatus,NA,Eastern chipmunk,Rodentia,Sciuridae,Tamias,0,111.91,,
m32,Mammals,Glaucomys sabrinus,Glaucomys sabrinus,NA,Northern flying squirrel,Rodentia,Sciuridae,Glaucomys,0,166,,
m33,Mammals,Clethrionomys gapperi,Myodes gapperi,NA,Southern red-backed vole,Rodentia,Cricetidae,Myodes,0,19.83,,
m34,Mammals,Sorex fumeus,Sorex fumeus,NA,NA,Eulipotyphla,Soricidae,Sorex,30,7.7,,
m35,Mammals,Mustela erminea,Mustela erminea,NA,Stoat,Carnivora,Mustelidae,Mustela,90,119.38,,
m36,Mammals,Microtus pennsylvanicus,Microtus pennsylvanicus,NA,Chihuahua vole,Rodentia,Cricetidae,Microtus,0,36.75,,
m37,Mammals,Antechinus sp.,Antechinus sp.,NA,Antechinus,Dasyuromorphia,Dasyuridae,Antechinus,11,45,,
m38,Mammals,Sminthopsis murina,Sminthopsis murina,NA,Common dunnart,Dasyuromorphia,Dasyuridae,Sminthopsis,20,17,,
m39,Mammals,Isoodon macrourus,Isoodon macrourus,NA,Northern brown bandicoot,Peramelemorphia,Peramelidae,Isoodon,0,1600,,
m40,Mammals,Rattus fuscipes,Rattus fuscipes,NA,Bush rat,Rodentia,Muridae,Rattus,0,133,,
m41,Mammals,Rattus lutreolus,Rattus lutreolus,NA,Swamp rat,Rodentia,Muridae,Rattus,0,106,,
m42,Mammals,Rattus rattus,Rattus rattus,NA,Black rat,Rodentia,Muridae,Rattus,0,229.13,,
m43,Mammals,Mus musculus,Mus musculus,Mus domesticus,House mouse,Rodentia,Muridae,Rattus,0,16.25,,
m44,Mammals,Hybomys univittatus,Hybomys univittatus,NA,NA,Rodentia,Muridae,Hybomys,0,47.6,,
m45,Mammals,Praomys tullbergi,Praomys tullbergi,NA,Tullberg's soft-furred mouse,Rodentia,Muridae,Praomys,0,35.83,,
m46,Mammals,Stochomys longicaudatus,Stochomys longicaudatus,NA,NA,Rodentia,Muridae,Stochomys,0,70.95,,
m47,Mammals,Hylomyscus aeta,Hylomyscus aeta,NA,Beaded wood mouse,Rodentia,Muridae,Hylomyscus,0,20,,
m48,Mammals,Grammomys rutilans,Grammomys kuru,NA,Grammomys kuru,Rodentia,Muridae,Grammomys,0,46.67,,
m49,Mammals,Protoxerus stangeri,Protoxerus stangeri,NA,NA,Rodentia,Muridae,Protoxerus,0,621.5,,
m50,Mammals,Lophuromys nudicaudus,Lophuromys nudicaudus,NA,NA,Rodentia,Muridae,Lophuromys,10,32.59,,
m51,Mammals,Cricetomys emini,Cricetomys emini,NA,NA,Rodentia,Nesomydae,Cricetomys,0,1299.99,,
m52,Mammals,Graphiurus sp.,Graphiurus sp.,NA,NA,Rodentia,Gliridae,Graphiurus,40,28.5,,
m53,Mammals,Crocidura mutesae,Crocidura mutesae,NA,Ugandan musk shrew,Eulipotyphla,Soricidae,Crocidura,50,23.91,,
m54,Mammals,Funisciurus leucogenys,Funisciurus leucogenys,NA,NA,Rodentia,Sciuridae,Funisciurus,0,250,,
m55,Mammals,Heimyscus fumosus,Heimyscus fumosus,NA,NA,Rodentia,Muridae,Heimyscus,0,14.25,,
m56,Mammals,Deomys ferrugineus,Deomys ferrugineus,NA,NA,Rodentia,Muridae,Deomys,0,62,,
m57,Mammals,Hylomyscus alleni,Hylomyscus alleni,NA,NA,Rodentia,Muridae,Hylomyscus,0,19.95,,
m58,Mammals,Mus spretus,Mus spretus,NA,Western mediterranean mouse,Rodentia,Muridae,Mus,0,12.8,,
m59,Mammals,Apodemus sylvaticus,Apodemus sylvaticus,NA,Long-tailed field mouse,Rodentia,Muridae,Apodemus,0,30.45,,
m60,Mammals,Crocidura russula,Crocidura russula,NA,White-toothed shrew,Eulipotyphla,Soricidae,Crocidura,50,8.2,,
m65,Mammals,Oligoryzomys nigripes,Oligoryzomys nigripes,NA,Black-footed Pygmy rice rat,Rodentia,Cricetidae,Oligoryzomys,0,20.5,,
m73,Mammals,Didelphis albiventris,Didelphis albiventris,NA,White-eared opossum,Didelphimorphia,Didelphidae,Didelphis,60,904,,
m74,Mammals,Marmosops incanus,Marmosops incanus,NA,Grey slender mouse opossum,Didelphimorphia,Didelphidae,Marmosops,0,62.3,,
m75,Mammals,Monodelphis americana,Monodelphis americana,NA,Norther three-striped opossum,Didelphimorphia,Didelphidae,Monodelphis,40,19.5,,
m76,Mammals,Monodelphis domestica,Monodelphis domestica,NA,Grey short-tailed opossum,Didelphimorphia,Didelphidae,Monodelphis,40,71.4,,
m77,Mammals,Akodon serrensis,Akodon serrensis,NA,Serrado do mar grass mouse,Rodentia,Cricetidae,Akodon,0,28.3,,
m78,Mammals,Bibimys labiosus,Bibimys labiosus,NA,Large-lipped crimson nosed rat,Rodentia,Cricetidae,Bibimys,0,29,,
m79,Mammals,Blarinomys breviceps,Blarinomys breviceps,NA,Brazilian shrew mouse,Rodentia,Cricetidae,Blarinomys,0,36.8,,
m81,Mammals,Necromys lasiurus,Necromys lasiurus,NA,Hairy-tailed bolo mouse,Rodentia,Cricetidae,Necromys,0,39.93,,
m82,Mammals,Rhagomys rufescens,Rhagomys rufescens,NA,Brazilian arboreal mouse,Rodentia,Cricetidae,Rhagomys,0,21.2,,
m83,Mammals,Melomys burtoni,Melomys burtoni,NA,Grassland melomys,Rodentia,Muridae,Melomys,0,68.5,,
m84,Mammals,Rattus sordidus,Rattus sordidus,NA,Canefield rat,Rodentia,Muridae,Rattus,0,157.5,,
m85,Mammals,Rhombomys opimus,Rhombomys opimus,NA,Great gerbil,Rodentia,Muridae,Rhombomys,0,144,,
m86,Mammals,Allactaga sibirica,Allactaga sibirica,NA,Siberian Jerboa,Rodentia,Dipodidae,Allactaga,0,97.5,,
m87,Mammals,Microtus arvalis,Microtus arvalis,NA,Common vole,Rodentia,Cricetidae,Microtus,0,28,,
m88,Mammals,Peromyscus eremicus,Peromyscus eremicus,NA,cactus mouse,Rodentia,Cricetidae,Peromyscus,10,23.65,,
m89,Mammals,Chaetodipus fallax,Chaetodipus fallax,NA,San diego pocked mouse,Rodentia,Heteromyidae,Chaetodipus,0,18.7,,
m90,Mammals,Antechinus flavipes,Antechinus flavipes,NA,Yellow-footed antechinus,Dasyuromorphia,Dasyuridae,Antechinus,10,45,,
m91,Mammals,Peromyscus gossypinus,Peromyscus gossypinus,NA,Cotton mouse,Rodentia,Cricetidae,Peromyscus,10,29.39,,
m92,Mammals,Reithrodontomys humulis,Reithrodontomys humulis,NA,Eastern harvest mouse,Rodentia,Cricetidae,Reithrodontomys,0,8.31,,
m93,Mammals,Scalopus aquaticus,Scalopus aquaticus,NA,Eastern mole,Eulipotyphla,Talpidae,Scalopus,0,91.26,,
m94,Mammals,Ochrotomys nuttalli,Ochrotomys nuttalli,NA,Golden mouse,Rodentia,Cricetidae,Ochrotomys,0,22.37,,
m95,Mammals,Sigmodon hispidus,Sigmodon hispidus,NA,hispid cotton rat,Rodentia,Cricetidae,Sigmodon,0,92.38,,
m96,Mammals,Cryptotis parva,Cryptotis parva,NA,least shrew,Eulipotyphla,Soricidae,Cryptotis,60,4.98,,
m97,Mammals,Peromyscus polionotus,Peromyscus polionotus,NA,Oldfield mouse,Rodentia,Cricetidae,Peromyscus,10,12.95,,
m98,Mammals,Sorex longirostris,Sorex longirostris,NA,Southeastern shrew,Eulipotyphla,Soricidae,Sorex,30,3.58,,
m99,Mammals,Blarina carolinensis,Blarina carolinensis,NA,Southern short-tailed shrew,Eulipotyphla,Soricidae,Blarina,30,13.5,,
m100,Mammals,Apodemus chevrieri,Apodemus chevrieri,NA,Chevrier's field mouse,Rodentia,Muridae,Apodemus,0,32.9,,
m101,Mammals,Apodemus draco,Apodemus draco,NA,South china field mouse,Rodentia,Muridae,Apodemus,0,22.25,,
m102,Mammals,Leopoldamys edwardsi,Leopoldamys edwardsi,NA,NA,Rodentia,Muridae,Leopoldamys,0,300,,
m103,Mammals,Niviventer confucianus,Niviventer confucianus,NA,Confucian niviventer,Rodentia,Muridae,Niviventer,0,65,,
m104,Mammals,Niviventer fulvescens,Niviventer fulvescens,NA,NA,Rodentia,Muridae,Niviventer,0,82.55,,
m105,Mammals,Rattus nitidus,Rattus nitidus,NA,NA,Rodentia,Muridae,Rattus,0,133.5,,
m106,Mammals,Typhlomys cinereus,Typhlomys cinereus,NA,Sort-furred tree mouse,Rodentia,Platacanthomyidae,Typhlomys,0,31.2,,
m107,Mammals,Felis concolor,Puma concolor,NA,Cougar,Carnivora,Felidae,Puma,100,51600.04,,
m109,Mammals,Lynx canadensis,Lynx canadensis,NA,Lynx,Carnivora,Felidae,Lynx,100,9373.25,,
m110,Mammals,Pekania pennanti,Martes pennanti,NA,Fisher,Carnivora,Mustelidae,Martes,100,4000,,
m111,Mammals,Sorex cinereus,Sorex cinereus,NA,Cinereus shrew,Eulipotyphla,Soricidae,Sorex,30,4.66,,
m112,Mammals,Lepus americanus,Lepus americanus,NA,Snowshoe hare,Lagomorpha,Leporidae,Lepus,0,1710.02,,
m113,Mammals,Sorex monticolus,Sorex monticolus,NA,NA,Eulipotyphla,Soricidae,Sorex,30,5.25,,
m114,Mammals,Sorex sp.,Sorex sp.,NA,Shrew,Eulipotyphla,Soricidae,Sorex,30,5.16,,
m115,Mammals,"Mustela erminea, M. nivalis, M.frenata","Mustela erminea, M. nivalis, M.frenata",NA,Weasel,Carnivora,Mustelidae,Mustela,97,123.42,,
m116,Mammals,"Odocoileus hemionus, O. virginianus","Odocoileus hemionus, O. virginianus",NA,Deer,Cetartiodactyla,Cervidae,Odocoileus,0,54860.6,,
m117,Mammals,Antechinus stuartii,Antechinus stuartii,NA,Brown antechinus,Dasyuromorphia,Dasyuridae,Antechinus,10,27.5,,
m118,Mammals,Cercartetus concinnus,Cercartetus concinnus,NA,Western pygmy possum,Diprotodontia,Burramyidae,Cercartetus,10,13,,
m119,Mammals,Macropus robustus,Macropus robustus,NA,Common wallaroo,Diprotodontia,Macropodidae,Macropus,0,21262.5,,
m120,Mammals,Macropus rufus,Macropus rufus,NA,Red kangaroo,Diprotodontia,Macropodidae,Macropus,0,46250,,
m121,Mammals,Macropus sp.,Macropus sp.,NA,NA,Diprotodontia,Macropodidae,Macropus,0,17228.8,,
m122,Mammals,Sorex palustris,Sorex palustris,NA,NA,Eulipotyphla,Soricidae,Sorex,30,13.45,,
m123,Mammals,Tamias minimus,Neotamias minimus,NA,Least chipmunk,Rodentia,Sciuridae,Neotamias,0,135.27,,
m124,Mammals,Zapus princeps,Zapus princeps,NA,NA,Rodentia,Dipodidae,Zapus,0,29,,
m125,Mammals,"Myodes gapperi, Myodes rutilus","Myodes gapperi, Myodes rutilus",NA,NA,Rodentia,Cricetidae,Myodes,0,19.885,,
m126,Mammals,Zapus hudsonius,Zapus hudsonius,NA,NA,Rodentia,Dipodidae,Zapus,0,17.12,,
m127,Mammals,Phenacomys intermedius,Phenacomys intermedius,NA,NA,Rodentia,Cricetidae,Phenacomys,0,25.2,,
m128,Mammals,Muntiacus muntjak,Muntiacus muntjak,NA,Bornean red muntjac,Cetartiodactyla,Cervidae,Muntiacus,0,15925.79,,
m129,Mammals,Sus barbatus,Sus barbatus,NA,Bearded pig,Cetartiodactyla,Suidae,Sus,20,96666.67,,
m130,Mammals,Tragulus kanchil,Tragulus kanchil,NA,"Lesser mousedeer, lesser oriental chevrotain",Cetartiodactyla,Tragulidae,Tragulus,0,3706.24,,
m131,Mammals,Tragulus napu,Tragulus napu,NA,"Greater mousedeer, greater oriental chevrotain",Cetartiodactyla,Tragulidae,Tragulus,0,4950,,
m132,Mammals,Prionailurus bengalensis,Prionailurus bengalensis,NA,Leopard cat,Carnivora,Felidae,Prionailurus,100,3300,,
m133,Mammals,Herpestes brachyurus,Herpestes brachyurus,NA,Short-tailed mongoose,Carnivora,Herpestidae,Herpestes,60,1853.52,,
m134,Mammals,Herpestes semitorquatus,Herpestes semitorquatus,NA,Long-tailed mongoose,Carnivora,Herpestidae,Herpestes,60,1916.01,,
m135,Mammals,Aonyx cinereus,Aonyx cinereus,Aonyx cinerea,Oriental small-clawed otter,Carnivora,Mustelidae,Aonyx,20,3527.59,,
m136,Mammals,Mustela nudipes,Mustela nudipes,NA,Malay weasel,Carnivora,Mustelidae,Mustela,100,500,,
m137,Mammals,Arctictis binturong,Arctictis binturong,NA,Binturong,Carnivora,Viverridae,Arctictis,50,9875,,
m138,Mammals,Arctogalidia trivirgata,Arctogalidia trivirgata,NA,Small-toothed palm civet,Carnivora,Viverridae,Arctogalidia,60,2250,,
