"FixedEffects","AICc","BIC","Qm","Qmp","QE","QEp","Sigma2_ID","Sigma2_Order_Family","Sigma2_Species","Sigma2_Source","Sigma2_Study","R2m","R2c","dAICc"
"~logD + logD2",590.35456178194,"616.661136869501","8.74244437316066","0.0126357878365426","1406.82578885554","8.25409883728877e-175","0.1767","0","0.1555","0","0","0.1086","0.5259",0
"~logD + logD2 + logBM",590.679839782642,"620.183559044032","10.5149743937495","0.0146596605075938","1321.27473581042","1.68269480661887e-159","0.1787","0","0.1501","0","0","0.129","0.5265",0.325278000702042
"~logD * logBM + logD2",591.740573944113,"624.420187289247","11.5718241426759","0.0208362012074893","1312.97576729739","2.20496600746341e-158","0.1816","0","0.1471","0","0","0.1402","0.5249",1.38601216217296
"~logD",591.878025934535,"614.966513249862","4.57713886884808","0.0324012727627399","1407.14409081506","1.85673981372722e-174","0.1867","0","0.1422","0.0209","0","0.0571","0.4968",1.52346415259501
"~logD * logBM + logD2 * logBM",591.966583840101,"627.800528677568","13.5894743333652","0.0184385457358236","1312.41841502558","1.11265088384542e-158","0.1807","0","0.1477","0","0","0.1608","0.5382",1.61202205816096
"~logD + logBM",592.514288293739,"618.8208633813","6.05523114131993","0.0484309808097893","1323.9424633598","1.37150335975162e-159","0.1881","0","0.1402","0.0196","0","0.0746","0.4996",2.15972651179902
"~1",594.158001717219,"614.007758287726","4.78389020601971","0.0287271534744699","1407.17008448182","4.71837040620933e-174","0.2051","0","0.1199","0.028","0","0.059","0.4533",3.80343993527902
"~logD * logBM",594.167585800759,"623.671305062149","6.55737194633973","0.0874271496634148","1314.52963643439","2.86890353402536e-158","0.1906","0","0.1397","0.0211","0","0.0795","0.5007",3.81302401881896
"~logD + logD2 + InfraType",595.045907723062,"627.725521068196","8.08163984668923","0.0886329874966466","1344.17898917087","4.28304789258499e-164","0.1812","0","0.1504","0.0156","0","0.0973","0.5289",4.69134594112199
"~logBM",595.293871867013,"618.382359182341","1.02413078962889","0.311541174162936","1324.28111219668","2.97205479080434e-159","0.2071","0","0.117","0.0301","0","0.0132","0.4231",4.93931008507298
"~logD + logD2 + logBM + InfraType",595.305154070862,"631.139098908329","10.0272451059835","0.0744669386407799","1304.78969987008","2.75475530229073e-157","0.1817","0","0.1491","0.0113","0","0.1195","0.5323",4.95059228892205
"~logD + InfraType",595.952670857493,"625.456390118884","5.06559922376087","0.167056187496247","1348.53045077852","1.72565592434856e-164","0.1854","0","0.146","0.0347","0","0.0602","0.524",5.598109075553
"~InfraType",595.973626314373,"622.280201401933","2.59105187419023","0.273753849159102","1348.73561740689","3.99959668447194e-164","0.1917","0","0.1393","0.0246","0","0.0326","0.4784",5.61906453243296
"~logD + logBM + InfraType",596.150550230542,"628.830163575676","6.9662609124424","0.137681960000691","1305.26215834019","5.64239119210773e-157","0.1856","0","0.1445","0.0293","0","0.0823","0.5261",5.79598844860197
"~logD * logBM + logD2 + InfraType",596.647917793745,"635.614312873147","10.8699722216311","0.0924791933033663","1301.83933040428","3.80686010450242e-157","0.1842","0","0.1474","0.0105","0","0.1282","0.5305",6.29335601180503
"~logD * logBM + logD2 * logBM + InfraType",596.819067311898,"638.895706413772","12.9830140872267","0.0725233326894347","1301.81773575002","1.53232523298192e-157","0.1826","0","0.1474","0.0149","0","0.1484","0.5491",6.46450552995805
"~logD * logBM + InfraType",597.640217251611,"633.474162089078","7.62898102264445","0.177903485599044","1302.06278918256","8.66767000462562e-157","0.1883","0","0.1435","0.0275","0","0.0895","0.5229",7.28565546967104
