"FixedEffects","AICc","BIC","Qm","Qmp","QE","QEp","Sigma2_ID","Sigma2_Order_Family","Sigma2_Species","Sigma2_Source","Sigma2_Study","R2m","R2c","dAICc"
"~logD * Diet + logD * Habitat + InfraType",6420.17532168589,"6501.37760679775","61.607711735227","2.25245725340026e-10","26188.0340736667","0","0.194","0.0505","0.1242","0","0.1702","0.0442","0.656",0
"~logD * Diet + logD * logBM + logD * Habitat + InfraType",6420.34186027752,"6513.11823268173","66.2542245549032","2.33123632755117e-10","26136.7274875155","0","0.194","0.0592","0.1239","0","0.1611","0.0475","0.6566",0.166538591630342
"~logD * Diet + logD * Habitat",6420.46295640084,"6484.29175595097","53.4024592328982","2.78051641062319e-10","26417.1154292107","0","0.1936","0.05","0.1231","0.0166","0.172","0.0375","0.6644",0.2876347149504
"~logD * Diet + logD * Habitat + logD * logBM",6420.88871820263,"6496.30148673234","57.3415641687027","5.1123195653159e-10","26368.4863877201","0","0.1936","0.0575","0.1229","0.0188","0.1619","0.0402","0.665",0.713396516740431
"~logD * Diet + logD2 + logD * Habitat + InfraType",6421.71111894409,"6508.70127268565","62.1311580951345","5.19739077685159e-10","26005.4953318983","0","0.1938","0.0503","0.1243","0","0.1697","0.0446","0.6559",1.53579725820055
"~logD * Diet + logBM + logD * Habitat + InfraType",6421.96075591513,"6508.95090965669","62.1930367720448","5.05604357260256e-10","26150.8592016154","0","0.194","0.0577","0.1242","0","0.1697","0.0441","0.6601",1.78543422924031
"~logD * Diet + logD * logBM + logD * Habitat + InfraType + logD2",6422.12768678619,"6520.6886258681","66.477505422022","5.67705119594637e-10","25937.8043191614","0","0.1939","0.0591","0.1239","0","0.1617","0.0476","0.6571",1.95236510030009
"~logD * Diet + logD2 + logD * Habitat",6422.20461099683,"6491.82621700328","53.4610914067933","9.47376781846091e-10","26263.4788660381","0","0.1935","0.0499","0.1231","0.0203","0.1697","0.0374","0.6653",2.02928931093993
"~logD * Diet + logD * Habitat + logBM",6422.3243480896,"6491.94595409604","53.8621831935097","7.86461880724164e-10","26382.6443552722","0","0.1937","0.0563","0.1231","0.0165","0.172","0.0374","0.6681",2.1490264037102
"~logD * Diet + logD * logBM + logD2 * logBM + logD * Habitat +      InfraType",6422.64016909386,"6526.98402084733","68.0835574362855","7.30009816378021e-10","25872.3725301448","0","0.1929","0.061","0.1245","0","0.1654","0.0482","0.6623",2.46484740797041
"~logD * Diet + logD * Habitat + logD * logBM + logD2",6422.78930449002,"6503.99158960187","57.2719783043392","1.59356254885581e-09","26199.5087449286","0","0.1936","0.0574","0.1228","0.0218","0.1607","0.04","0.6659",2.6139828041305
"~logD * Diet + logD2 * Diet + logD * Habitat + InfraType",6423.16922483866,"6515.94559724288","62.6434221004345","1.14159712939596e-09","25959.5096440248","0","0.1941","0.0499","0.1243","0","0.1694","0.045","0.6552",2.99390315277014
"~logD * Diet + logD2 * Diet + logD * logBM + logD2 * logBM +      logD * Habitat + InfraType",6423.43462991855,"6533.55973831295","69.2054363994617","1.1237908256219e-09","25871.1123743526","0","0.1928","0.0605","0.1246","0","0.1681","0.0488","0.6641",3.25930823266026
"~logD * Diet + logD2 + logBM + logD * Habitat + InfraType",6423.48431614454,"6516.26068854875","62.7368100879448","1.09580717465557e-09","25973.7900875192","0","0.1938","0.0577","0.1242","0","0.1692","0.0445","0.6601",3.30899445864998
"~logD * Diet + logD * Habitat + logD * logBM + logD2 * logBM",6423.49800819774,"6510.4881619393","58.7101242367217","2.37437443125936e-09","26145.367723942","0","0.1927","0.059","0.1233","0.0226","0.1643","0.0406","0.671",3.32268651185041
"~logD * Diet + logD2 * Diet + logD * Habitat",6423.63668957917,"6499.04945810887","53.9182788742038","2.44107088431185e-09","26227.5273473002","0","0.1939","0.0495","0.123","0.0216","0.1681","0.0378","0.6646",3.46136789328011
"~logD * Diet + logD * Habitat + logD2 * Habitat + InfraType",6423.73847936584,"6516.51485177005","62.0894129030083","1.45515113480924e-09","25975.0895000885","0","0.194","0.0503","0.1242","0","0.1699","0.0446","0.6557",3.56315767995056
"~logD * Diet + logD * logBM + logD2 * logBM + logD * Habitat +      logD2 * Habitat + InfraType",6424.0131501612,"6534.1382585556","68.756552518251","1.35866677000113e-09","25665.1192440096","0","0.1936","0.0623","0.1244","0.0028","0.1534","0.0493","0.6569",3.83782847531074
"~logD * Diet + logD2 * Diet + logD * logBM + logD * Habitat +      InfraType",6424.06127098459,"6528.40512273807","66.5049886211761","1.4348936583046e-09","25912.2085101875","0","0.1941","0.0588","0.1239","0","0.1621","0.0476","0.657",3.88594929870033
"~logD * Diet + logD2 + logD * Habitat + logBM",6424.06155783958,"6499.47432636929","53.9275880031629","2.43074456073488e-09","26233.2748753443","0","0.1935","0.0562","0.1231","0.0202","0.1697","0.0373","0.6689",3.88623615369033
"~logD * Diet + logD * Habitat + logD2 * Habitat",6424.18628583776,"6499.59905436746","53.4289139385441","3.05014034209916e-09","26217.640435917","0","0.1939","0.0499","0.123","0.0209","0.1675","0.0375","0.6638",4.01096415187021
"~logD * Diet + logD * logBM + logD * Habitat + logD2 * Habitat +      InfraType",6424.21678872692,"6528.56064048039","66.250069911395","1.59996028740548e-09","25891.7550956282","0","0.1938","0.0589","0.1239","0","0.1658","0.0471","0.6595",4.04146704103005
"~logD * Diet + logD2 * Diet + logD * Habitat + logD * logBM +      logD2 * logBM",6424.32667284238,"6517.10304524659","59.7620635840784","4.02007475962718e-09","26144.9410081147","0","0.1926","0.0587","0.1234","0.025","0.1651","0.0411","0.6731",4.15135115648991
"~logD * Diet + logD * logBM",6424.63317792895,"6488.46197747909","49.8593156051985","1.48076244576381e-09","26544.4812425597","0","0.1958","0.0518","0.1228","0.0149","0.1453","0.0366","0.6445",4.45785624306063
"~logD * Diet + logD2 * Diet + logD * Habitat + logD * logBM",6424.69912269069,"6511.68927643225","57.2983738328684","4.43043786957213e-09","26180.9420504497","0","0.1938","0.0572","0.1228","0.0225","0.1605","0.04","0.6658",4.52380100480059
