"FixedEffects","AICc","BIC","Qm","Qmp","QE","QEp","Sigma2_ID","Sigma2_Order_Family","Sigma2_Species","Sigma2_Source","Sigma2_Study","R2m","R2c","dAICc"
"~logD * Diet + logD * Habitat + logD * logBM + logD2 * logBM",2374.62260989834,"2445.46212424334","73.7592174588421","2.77665496642244e-12","6029.36032033539","0","0.2325","0","0.4529","0.1438","0.0138","0.0921","0.7496",0
"~logD * Diet + logD * Habitat + logD2 * Habitat + logD * logBM +      logD2 * logBM",2375.428966804,"2450.95257585661","75.2443446609378","4.26421299998362e-12","6006.08250320648","0","0.231","0","0.4569","0.1448","0.0156","0.0932","0.753",0.806356905659868
"~logD * Diet + logD2 * Diet + logD * Habitat + logD * logBM +      logD2 * logBM",2376.71038548879,"2452.2339945414","73.7195617652276","8.44075884367852e-12","6028.48656343414","0","0.2328","0","0.4536","0.1447","0.0138","0.0918","0.7497",2.08777559044984
"~logD * Diet + logD2 * Diet + logD * Habitat + logD2 * Habitat +      logD * logBM + logD2 * logBM",2377.52287985906,"2457.72566925245","75.1894413695622","1.24661407415108e-11","6005.83456190754","0","0.2314","0","0.4572","0.1455","0.0155","0.093","0.753",2.90026996071992
"~logD * Diet + logD * logBM + logD2 * logBM + logD * Habitat +      InfraType",2378.13920611293,"2458.34199550632","74.9687718849541","1.37425958319826e-11","5595.90211192451","0","0.2308","0","0.4615","0.1589","0.0135","0.0913","0.7575",3.51659621458975
"~logD * Diet + logD * logBM + logD2 * logBM + logD * Habitat +      logD2 * Habitat + InfraType",2378.96554319662,"2463.84258109584","76.5002899951608","1.91055343096392e-11","5585.95701372408","0","0.2292","0","0.4655","0.1608","0.0154","0.0924","0.7612",4.3429332982796
"~logD * Diet + logD * logBM + logD2 * logBM",2380.16852516802,"2441.62517645834","64.2802799594607","2.09783984602877e-11","6149.46140946853","0","0.2329","0","0.4544","0.1558","0.0165","0.0797","0.7506",5.54591526967988
"~logD * Diet + logD2 * Diet + logD * logBM + logD2 * logBM +      logD * Habitat + InfraType",2380.24119187239,"2465.11822977161","74.9187726604729","3.80638520745887e-11","5594.33515552837","0","0.2311","0","0.4619","0.1597","0.0135","0.0911","0.7575",5.6185819740499
"~logD * Diet + logD2 * Diet + logD * logBM + logD2 * logBM +      logD * Habitat + logD2 * Habitat + InfraType",2381.06351112811,"2470.60984814719","76.4446647479378","5.11878974713698e-11","5583.71300175022","0","0.2296","0","0.4657","0.1615","0.0153","0.0922","0.761",6.44090122976968
"~logD * Diet + logD * logBM + logD2 * logBM + Habitat",2381.97706887816,"2448.12759153446","64.618323477977","5.74176420183974e-11","6072.25459377358","0","0.2328","0","0.4571","0.1587","0.017","0.0796","0.7524",7.35445897981981
