"FixedEffects","AICc","BIC","Qm","Qmp","QE","QEp","Sigma2_ID","Sigma2_Order_Family","Sigma2_Species","Sigma2_Source","Sigma2_Study","R2m","R2c","dAICc"
"~logD * Habitat + logD2",781.590572369663,"819.88023386114","63.5761097761587","5.13261661044771e-13","1334.65383753268","9.29729318853165e-113","0.0902","0","0.1517","0.14","0","0.3151","0.8383",0
"~logD * Habitat + logD2 + logBM",781.603020179494,"823.656820795292","65.9480052594217","7.125186589494e-13","1317.6263328308","2.47245036405845e-110","0.0895","0","0.1565","0.1359","0","0.323","0.8413",0.0124478098309737
"~logD * logBM + logD2 + logD * Habitat",782.33069473323,"828.136442467116","68.1857297946462","9.62536185137233e-13","1317.6180994433","1.28499311828594e-110","0.0878","0","0.1563","0.1415","0","0.3282","0.847",0.740122363566911
"~logD * logBM + logD2 * logBM + logD * Habitat",782.83268234021,"832.378080082451","71.3610544231537","7.83911158957073e-13","1317.61669773106","6.65236074223459e-111","0.085","0","0.1631","0.147","0","0.3329","0.8565",1.24210997054695
"~logD * Habitat + logD2 * Habitat",783.011658778584,"825.065459394382","65.2146479216955","1.01152504600703e-12","1333.29062806683","7.91174659298564e-113","0.0898","0","0.1476","0.1791","0","0.3019","0.8494",1.42108640892093
"~logD * Habitat + logD2 * Habitat + logBM",783.203485826765,"829.009233560651","67.4321231571564","1.37306661888368e-12","1317.14053187975","1.5306392989082e-110","0.0893","0","0.1525","0.1762","0","0.3083","0.8523",1.61291345710197
"~logD + logD2 + InfraType",783.393623063121,"821.683284554598","62.1173023072866","1.04074524266564e-12","1309.70612094759","8.59214902646294e-109","0.0909","0","0.135","0.1815","0","0.2963","0.843",1.80305069345798
"~logD + logD2 + logBM + InfraType",783.82526246885,"825.879063084647","64.1281898209203","1.69936546290939e-12","1300.80082888837","1.15047614633971e-107","0.0903","0","0.1408","0.1807","0","0.3008","0.8467",2.23469009918699
"~logD * logBM + logD * Habitat + logD2 * Habitat",783.948128079445,"833.493525821686","69.6984286571914","1.69996650286607e-12","1317.13606262195","7.93441257149736e-111","0.0875","0","0.1521","0.1828","0","0.3131","0.8577",2.35755570978199
"~logD * Habitat + logBM",784.434598047464,"822.724259538941","57.6438682897821","9.06418685814725e-12","1318.16818022087","3.90859757588884e-110","0.0966","0","0.1591","0.094","0","0.3129","0.8102",2.84402567780091
"~logD + logD2",784.456335660146,"815.18155734342","57.3215572911316","3.57093534671784e-13","1343.41965209396","1.39613313572926e-113","0.0895","0","0.1593","0.1581","0","0.2801","0.8416",2.86576329048296
"~logD + logD2 + logBM",784.498146434549,"819.011580704618","59.5552288837338","7.31582479423281e-13","1330.42730448194","8.48279531003209e-112","0.089","0","0.1643","0.15","0","0.2897","0.8433",2.90757406488592
"~logD * Habitat",784.649869824764,"819.163304094833","55.1890137620979","6.25734375565247e-12","1336.76347221683","8.30231493868715e-113","0.0973","0","0.1534","0.1039","0","0.3006","0.8081",3.05929745510093
"~logD * Habitat + logD2 + InfraType",784.678653623836,"830.484401357722","65.2515601006453","3.832678782893e-12","1309.55408303248","2.45688613132637e-109","0.0908","0","0.1379","0.1848","0","0.3036","0.847",3.08808125417295
"~logD * logBM + logD2 * logBM + logD * Habitat + logD2 * Habitat",784.765489832412,"838.038134158204","72.2443917449093","1.75404505779933e-12","1317.13547416075","4.10133159986828e-111","0.0851","0","0.1588","0.1818","0","0.3192","0.8639",3.17491746274891
"~logD * logBM + logD * Habitat",784.870535200651,"826.924335816449","60.2786593491727","1.06450900810963e-11","1318.0671322563","2.10410797143931e-110","0.0941","0","0.1592","0.1004","0","0.3201","0.8191",3.27996283098798
